Observation,Level,Month
286,15.427,1944-10
287,14.972,1944-11
288,14.535,1944-12
289,14.213,1945-01
290,13.719,1945-02
291,15.009,1945-03
292,16.319,1945-04
293,17.078,1945-05
294,17.913,1945-06
295,18.159,1945-07
296,17.704,1945-08
297,17.059,1945-09
298,17.268,1945-10
299,16.546,1945-11
300,16.072,1945-12
301,15.996,1946-01
302,15.294,1946-02
303,15.901,1946-03
304,16.3,1946-04
305,16.546,1946-05
306,17.495,1946-06
307,17.666,1946-07
308,16.964,1946-08
309,16.148,1946-09
310,15.427,1946-10
311,14.839,1946-11
312,14.269,1946-12
313,14.118,1947-01
314,14.156,1947-02
315,14.08,1947-03
316,16.414,1947-04
317,18.216,1947-05
318,19.298,1947-06
319,18.824,1947-07
320,18.368,1947-08
321,17.875,1947-09
322,16.869,1947-10
323,16.129,1947-11
324,15.712,1947-12
325,15.617,1948-01
326,15.161,1948-02
327,16.148,1948-03
328,17.609,1948-04
329,18.406,1948-05
330,18.463,1948-06
331,18.254,1948-07
332,17.609,1948-08
333,16.812,1948-09
334,15.712,1948-10
335,15.066,1948-11
336,14.763,1948-12
337,14.877,1949-01
338,15.37,1949-02
339,15.731,1949-03
340,15.996,1949-04
341,16.224,1949-05
342,16.186,1949-06
343,16.015,1949-07
344,15.446,1949-08
345,14.573,1949-09
346,14.08,1949-10
347,13.226,1949-11
348,12.979,1949-12
349,14.459,1950-01
350,15.655,1950-02
351,15.636,1950-03
352,17.154,1950-04
353,17.381,1950-05
354,17.116,1950-06
355,16.736,1950-07
356,16.167,1950-08
357,15.92,1950-09
358,15.408,1950-10
359,15.066,1950-11
360,15.769,1950-12
361,15.787,1951-01
362,15.863,1951-02
363,17.154,1951-03
364,18.178,1951-04
365,18.653,1951-05
366,18.615,1951-06
367,18.406,1951-07
368,17.837,1951-08
369,17.078,1951-09
370,16.471,1951-10
371,16.224,1951-11
372,16.395,1951-12
373,17.4,1952-01
374,18.672,1952-02
375,19.089,1952-03
376,19.829,1952-04
377,20,1952-05
378,19.943,1952-06
379,19.526,1952-07
380,18.975,1952-08
381,18.463,1952-09
382,17.268,1952-10
383,16.414,1952-11
384,16.414,1952-12
385,16.755,1953-01
386,16.736,1953-02
387,17.173,1953-03
388,17.647,1953-04
389,18.216,1953-05
390,18.767,1953-06
391,18.539,1953-07
392,18.273,1953-08
393,17.419,1953-09
394,16.679,1953-10
395,15.996,1953-11
396,15.465,1953-12
397,15.408,1954-01
398,15.123,1954-02
399,16.072,1954-03
400,17.685,1954-04
401,18.235,1954-05
402,18.064,1954-06
403,17.818,1954-07
404,17.438,1954-08
405,16.812,1954-09
406,17.116,1954-10
407,17.211,1954-11
408,17.097,1954-12
409,17.495,1955-01
410,17.097,1955-02
411,18.121,1955-03
412,18.748,1955-04
413,18.767,1955-05
414,18.539,1955-06
415,18.102,1955-07
416,17.818,1955-08
417,17.002,1955-09
418,16.357,1955-10
419,15.56,1955-11
420,15.313,1955-12
421,14.782,1956-01
422,13.719,1956-02
423,14.839,1956-03
424,15.825,1956-04
425,17.324,1956-05
426,17.723,1956-06
427,17.685,1956-07
428,17.514,1956-08
429,16.907,1956-09
430,15.863,1956-10
431,14.934,1956-11
432,14.706,1956-12
433,14.383,1957-01
434,14.345,1957-02
435,14.763,1957-03
436,15.958,1957-04
437,16.698,1957-05
438,16.793,1957-06
439,17.23,1957-07
440,16.509,1957-08
441,15.787,1957-09
442,14.991,1957-10
443,14.08,1957-11
444,14.326,1957-12
445,14.497,1958-01
446,13.51,1958-02
447,13.662,1958-03
448,14.042,1958-04
449,14.269,1958-05
450,14.478,1958-06
451,14.972,1958-07
452,14.972,1958-08
453,14.573,1958-09
454,13.776,1958-10
455,13.017,1958-11
456,12.6,1958-12
457,12.296,1959-01
458,13.131,1959-02
459,13.966,1959-03
460,15.028,1959-04
461,15.844,1959-05
462,15.769,1959-06
463,15.237,1959-07
464,14.801,1959-08
465,14.137,1959-09
466,13.89,1959-10
467,13.416,1959-11
468,13.871,1959-12
469,14.478,1960-01
470,14.725,1960-02
471,14.763,1960-03
472,15.806,1960-04
473,16.565,1960-05
474,17.097,1960-06
475,17.306,1960-07
476,17.211,1960-08
477,16.717,1960-09
478,15.787,1960-10
479,14.801,1960-11
480,14.231,1960-12
481,13.966,1961-01
482,14.004,1961-02
483,15.313,1961-03
484,16.357,1961-04
485,17.742,1961-05
486,17.609,1961-06
487,17.249,1961-07
488,17.078,1961-08
489,16.509,1961-09
490,15.465,1961-10
491,14.706,1961-11
492,14.213,1961-12
493,13.662,1962-01
494,13.928,1962-02
495,14.516,1962-03
496,15.18,1962-04
497,15.351,1962-05
498,15.579,1962-06
499,15.446,1962-07
500,15.199,1962-08
501,14.725,1962-09
502,14.383,1962-10
503,14.231,1962-11
504,13.776,1962-12
505,13.15,1963-01
506,12.713,1963-02
507,13.283,1963-03
508,14.478,1963-04
509,14.858,1963-05
510,14.782,1963-06
511,14.307,1963-07
512,14.023,1963-08
513,13.529,1963-09
514,12.922,1963-10
515,12.41,1963-11
516,11.936,1963-12
517,11.784,1964-01
518,11.992,1964-02
519,12.619,1964-03
520,13.662,1964-04
521,14.231,1964-05
522,14.099,1964-06
523,13.833,1964-07
524,13.416,1964-08
525,12.922,1964-09
526,11.974,1964-10
527,11.461,1964-11
528,11.423,1964-12
529,11.86,1965-01
530,12.163,1965-02
531,13.226,1965-03
532,13.966,1965-04
533,14.535,1965-05
534,14.516,1965-06
535,14.231,1965-07
536,13.966,1965-08
537,13.738,1965-09
538,13.226,1965-10
539,12.998,1965-11
540,13.131,1965-12
541,13.7,1966-01
542,13.814,1966-02
543,14.383,1966-03
544,15.047,1966-04
545,15.693,1966-05
546,15.844,1966-06
547,15.712,1966-07
548,15.313,1966-08
549,14.763,1966-09
550,13.548,1966-10
551,13.586,1966-11
552,14.516,1966-12
553,14.383,1967-01
554,14.497,1967-02
555,14.744,1967-03
556,15.806,1967-04
557,16.527,1967-05
558,16.546,1967-06
559,16.717,1967-07
560,16.433,1967-08
561,15.769,1967-09
562,15.275,1967-10
563,15.123,1967-11
564,15.541,1967-12
565,15.825,1968-01
566,16.376,1968-02
567,16.357,1968-03
568,16.907,1968-04
569,17.021,1968-05
570,17.419,1968-06
571,17.533,1968-07
572,17.268,1968-08
573,16.603,1968-09
574,15.825,1968-10
575,15.446,1968-11
576,15.636,1968-12
577,15.693,1969-01
578,16.755,1969-02
579,16.509,1969-03
580,17.723,1969-04
581,18.691,1969-05
582,19.127,1969-06
583,19.564,1969-07
584,19.203,1969-08
585,18.216,1969-09
586,17.211,1969-10
587,16.66,1969-11
588,16.831,1969-12
589,15.769,1970-01
590,15.731,1970-02
591,15.996,1970-03
592,17.021,1970-04
593,17.552,1970-05
594,17.837,1970-06
595,17.856,1970-07
596,17.571,1970-08
597,17.078,1970-09
598,16.66,1970-10
599,16.433,1970-11
600,16.584,1970-12
